# column1: time [BJD; arbitrary zero point] \\
# column2: radial velocity [km/s]\\
# column3: radial velocity uncertainty [km/s] \\
# column4: FWHM of the CCF [km/s] \\
# column5: FWHM of the CCF uncertainty [km/s] \\
# column6: bisector span of the CCF [km/s] \\
# column7: bisector span of the CCF uncertainty [km/s] \\
# column8: instrument name
6262.810971,0.01362631,0.00023,5.4646,0.0005,0.1531,0.0005,INST4
6263.798023,0.00994631,0.00025,5.4622,0.0005,0.1547,0.0005,INST4
6264.782711,0.00828631,0.0002,5.4633,0.0004,0.1508,0.0004,INST4
6265.860431,0.01007631,0.00018,5.4607,0.0004,0.1522,0.0004,INST4
6266.820976,0.01154631,0.00021,5.4649,0.0005,0.1484,0.0005,INST4
6267.831427,0.01208631,0.00022,5.4586,0.0005,0.1498,0.0005,INST4
6268.765408,0.01078631,0.00017,5.461,0.0004,0.1499,0.0004,INST4
6269.787294,0.00811631,0.00035,5.4615,0.0007,0.1515,0.0007,INST4
6270.791827,0.01097631,0.00018,5.4677,0.0004,0.1488,0.0004,INST4
6271.844175,0.01453631,0.00019,5.4707,0.0004,0.1501,0.0004,INST4
6272.811729,0.01585631,0.00018,5.4753,0.0004,0.15,0.0004,INST4
6273.913912,0.01326631,0.00022,5.4781,0.0005,0.1508,0.0005,INST4
6288.772578,0.01521631,0.00021,5.4967,0.0005,0.156,0.0005,INST4
6291.819204,0.01506631,0.00025,5.4868,0.0005,0.1584,0.0005,INST4
6323.752701,0.01931631,0.00029,5.5066,0.0006,0.1551,0.0006,INST4
6337.726095,0.01325631,0.00026,5.4739,0.0006,0.1507,0.0006,INST4
6338.739379,0.01484631,0.00023,5.4744,0.0005,0.1497,0.0005,INST4
6339.749788,0.01381631,0.00028,5.4737,0.0006,0.1498,0.0006,INST4
6340.752726,0.01152631,0.00021,5.4792,0.0005,0.1505,0.0005,INST4
6352.705339,0.01607631,0.00026,5.4832,0.0006,0.1507,0.0006,INST4
6366.675961,0.01126631,0.00023,5.4753,0.0005,0.155,0.0005,INST4
